quantity,name,set,condition,game,condition_key,set_key
1,Zulaport Cutthroat,Battle for Zendikar,Lightly Played,Magic,1,20
1,Hydra Omnivore,Commander,Lightly Played,Magic,1,123
1,Nihil Spellbomb,Commander 2017,Lightly Played,Magic,1,128
1,Vivid Grove,Commander 2017,Lightly Played,Magic,1,128
1,Warstorm Surge,Commander 2019,Lightly Played,Magic,1,130
1,Beast Whisperer,Commander 2020,Lightly Played,Magic,1,131
1,Cartographer's Hawk,Commander 2020,Lightly Played,Magic,1,131
2,Commander's Sphere,Commander 2020,Lightly Played,Magic,1,131
1,Crop Rotation,Commander 2020,Lightly Played,Magic,1,131
1,Duneblast,Commander 2020,Lightly Played,Magic,1,131
3,Exotic Orchard,Commander 2020,Lightly Played,Magic,1,131
39,Heroes' Bane,Commander 2020,Lightly Played,Magic,1,131
1,Krosan Grip,Commander 2020,Lightly Played,Magic,1,131
1,Magus of the Wheel,Commander 2020,Lightly Played,Magic,1,131
1,Outpost Siege,Commander 2020,Lightly Played,Magic,1,131
1,Reveillark,Commander 2020,Lightly Played,Magic,1,131
3,Shivan Reef,Commander 2020,Lightly Played,Magic,1,131
1,Skycloud Expanse,Commander 2020,Lightly Played,Magic,1,131
8,Sol Ring,Commander 2020,Lightly Played,Magic,1,131
1,Species Specialist,Commander 2020,Lightly Played,Magic,1,131
1,Temple of the False God,Commander 2020,Lightly Played,Magic,1,131
1,Terminate,Commander 2020,Lightly Played,Magic,1,131
1,Unexpectedly Absent,Commander 2020,Lightly Played,Magic,1,131
2,Wilderness Reclamation,Commander 2020,Lightly Played,Magic,1,131
1,Windfall,Commander 2020,Lightly Played,Magic,1,131
4,Scorch Spitter,Core Set 2020,Lightly Played,Magic,1,5
1,Animal Sanctuary,Core Set 2021,Lightly Played,Magic,1,1
5,Frantic Inventory,Core Set 2021,Lightly Played,Magic,1,1
1,Rewind,Core Set 2021,Lightly Played,Magic,1,1
1,Selfless Savior,Core Set 2021,Lightly Played,Magic,1,1
4,Sparkhunter Masticore,Core Set 2021,Lightly Played,Magic,1,1
4,"Subira, Tulzidi Caravanner",Core Set 2021,Lightly Played,Magic,1,1
8,Village Rites,Core Set 2021,Lightly Played,Magic,1,1
1,Watcher of the Spheres,Core Set 2021,Lightly Played,Magic,1,1
1,Master of Cruelties,Dragon's Maze,Lightly Played,Magic,1,30
1,Counterspell,Duel Decks: Jace vs. Chandra,Lightly Played,Magic,1,151
1,Imprisoned in the Moon,Eldritch Moon,Lightly Played,Magic,1,17
1,Legion Loyalist,Gatecrash,Lightly Played,Magic,1,31
1,Scavenger Grounds,Hour of Devastation,Lightly Played,Magic,1,13
1,Nature's Claim,Iconic Masters,Lightly Played,Magic,1,186
1,Genesis Ultimatum (Extended Art),Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,"Gyruda, Doom of Depths (Extended Art)",Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,"Kaheera, the Orphanguard (Extended Art)",Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,"Keruga, the Macrosage",Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,Lurrus of the Dream-Den,Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,"Obosh, the Preypiercer (Extended Art)",Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,Quartzwood Crasher (Extended Art),Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,"Rielle, the Everwise",Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,Skull Prophet,Ikoria: Lair of Behemoths,Lightly Played,Magic,1,2
1,Enduring Sliver,Modern Horizons,Lightly Played,Magic,1,204
1,Graveshifter,Modern Horizons,Lightly Played,Magic,1,204
1,"Animar, Soul of Elements",Mystery Booster Cards,Lightly Played,Magic,1,208
1,Caged Sun,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Carpet of Flowers,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Corrupted Conscience,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Curse of Opulence,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Desolation Twin,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Dragon Broodmother,Mystery Booster Cards,Lightly Played,Magic,1,208
4,Meddling Mage,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Price of Progress,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Shattering Spree,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Tireless Tracker,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Whir of Invention,Mystery Booster Cards,Lightly Played,Magic,1,208
1,Icon of Ancestry,Promo Pack: Core Set 2020,Lightly Played,Magic,1,229
1,Piper of the Swarm,Promo Pack: Throne of Eldraine,Lightly Played,Magic,1,233
1,Kenrith's Transformation,Throne of Eldraine,Lightly Played,Magic,1,4
1,Oakhame Adversary,Throne of Eldraine,Lightly Played,Magic,1,4
2,Angrath's Rampage,War of the Spark,Lightly Played,Magic,1,6
2,Blast Zone,War of the Spark,Lightly Played,Magic,1,6
1,"Storrev, Devkarin Lich",War of the Spark,Lightly Played,Magic,1,6
1,Phage the Untouchable,10th Edition,Moderately Played,Magic,2,53
2,Ashnod's Altar,Chronicles,Moderately Played,Magic,2,120
4,Skred,Coldsnap,Moderately Played,Magic,2,57
1,Crescendo of War,Commander,Moderately Played,Magic,2,123
1,"Karador, Ghost Chieftain",Commander,Moderately Played,Magic,2,123
1,Baleful Strix,Commander 2013,Moderately Played,Magic,2,124
1,Disciple of Bolas,Commander 2014,Moderately Played,Magic,2,125
1,Return to Dust,Commander 2014,Moderately Played,Magic,2,125
1,Collective Voyage,Commander 2016,Moderately Played,Magic,2,127
1,"Geth, Lord of the Vault",Commander 2019,Moderately Played,Magic,2,130
2,Goblin Chainwhirler,Dominaria,Moderately Played,Magic,2,10
3,Wear // Tear,Dragon's Maze,Moderately Played,Magic,2,30
1,Qasali Pridemage,Duel Decks: Ajani vs. Nicol Bolas,Moderately Played,Magic,2,140
1,Torchling,Duel Decks: Venser vs. Koth,Moderately Played,Magic,2,160
4,Cryptbreaker,Eldritch Moon,Moderately Played,Magic,2,17
1,Tree of Perdition,Eldritch Moon,Moderately Played,Magic,2,17
4,Gurmag Angler,Fate Reforged,Moderately Played,Magic,2,23
2,Abrade,Hour of Devastation,Moderately Played,Magic,2,13
1,Door of Destinies,Magic 2014 (M14),Moderately Played,Magic,2,29
1,Galerider Sliver,Magic 2014 (M14),Moderately Played,Magic,2,29
1,Predatory Sliver,Magic 2014 (M14),Moderately Played,Magic,2,29
1,Ratchet Bomb,Magic 2014 (M14),Moderately Played,Magic,2,29
1,Hangarback Walker,Magic Origins,Moderately Played,Magic,2,21
1,Tainted Remedy,Magic Origins,Moderately Played,Magic,2,21
1,Brainstorm,Mercadian Masques,Moderately Played,Magic,2,81
1,Counterspell,Mercadian Masques,Moderately Played,Magic,2,81
1,Dark Ritual,Mercadian Masques,Moderately Played,Magic,2,81
3,Spell Snare,Modern Masters,Moderately Played,Magic,2,205
1,Reckless Bushwhacker,Oath of the Gatewatch,Moderately Played,Magic,2,19
1,True Believer,Onslaught,Moderately Played,Magic,2,71
1,Silverclad Ferocidons,Promo Pack: Core Set 2020,Moderately Played,Magic,2,229
1,Piper of the Swarm,Promo Pack: Throne of Eldraine,Moderately Played,Magic,2,233
1,Kitchen Finks,Shadowmoor,Moderately Played,Magic,2,50
3,Runed Halo,Shadowmoor,Moderately Played,Magic,2,50
4,Game Trail,Shadows over Innistrad,Moderately Played,Magic,2,18
1,Hanweir Militia Captain,Shadows over Innistrad,Moderately Played,Magic,2,18
4,Port Town,Shadows over Innistrad,Moderately Played,Magic,2,18
1,Fatestitcher,Shards of Alara,Moderately Played,Magic,2,48
1,Blue Elemental Blast,Signature Spellbook: Jace,Moderately Played,Magic,2,242
1,Psychic Intrusion,Theros,Moderately Played,Magic,2,28
1,Underworld Breach,Theros Beyond Death,Moderately Played,Magic,2,3
1,"Emry, Lurker of the Loch",Throne of Eldraine,Moderately Played,Magic,2,4
1,Wishclaw Talisman,Throne of Eldraine,Moderately Played,Magic,2,4
1,Mayhem Devil,War of the Spark,Moderately Played,Magic,2,6
1,Angel of Invention,Kaladesh,Heavily Played,Magic,3,16
1,Dark Ritual,Mirage,Heavily Played,Magic,3,92
1,Ethereal Armor,Return to Ravnica,Heavily Played,Magic,3,32
1,Swords to Plowshares,Fourth Edition,Damaged,Magic,4,96
1,Vault of Whispers,Mirrodin,Damaged,Magic,4,67
1,"Kenrith, the Returned King",Buy-A-Box Promos,Lightly Played Foil,Magic,5,117
1,"Mairsil, the Pretender",Commander 2017,Lightly Played Foil,Magic,5,128
2,Tolarian Kraken,Core Set 2021,Lightly Played Foil,Magic,5,1
1,Aegis of the Gods,Journey Into Nyx,Lightly Played Foil,Magic,5,26
