Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL
Magic,Zulaport Cutthroat,Lightly Played,126,Battle for Zendikar,U,1,
Magic,Hydra Omnivore,Lightly Played,,Commander,R,1,
Magic,Nihil Spellbomb,Lightly Played,218,Commander 2017,C,1,
Magic,Vivid Grove,Lightly Played,291,Commander 2017,U,1,
Magic,Warstorm Surge,Lightly Played,155,Commander 2019,R,1,
Magic,Beast Whisperer,Lightly Played,167,Commander 2020,R,1,
Magic,Cartographer's Hawk,Lightly Played,24,Commander 2020,R,1,
Magic,Commander's Sphere,Lightly Played,240,Commander 2020,C,2,
Magic,Crop Rotation,Lightly Played,169,Commander 2020,C,1,
Magic,Duneblast,Lightly Played,211,Commander 2020,R,1,
Magic,Exotic Orchard,Lightly Played,273,Commander 2020,R,3,
Magic,Heroes' Bane,Lightly Played,175,Commander 2020,U,39,
Magic,Krosan Grip,Lightly Played,181,Commander 2020,U,1,
Magic,Magus of the Wheel,Lightly Played,156,Commander 2020,R,1,
Magic,Outpost Siege,Lightly Played,157,Commander 2020,R,1,
Magic,Reveillark,Lightly Played,97,Commander 2020,R,1,
Magic,Shivan Reef,Lightly Played,310,Commander 2020,R,3,
Magic,Skycloud Expanse,Lightly Played,312,Commander 2020,R,1,
Magic,Sol Ring,Lightly Played,252,Commander 2020,U,8,
Magic,Species Specialist,Lightly Played,47,Commander 2020,R,1,
Magic,Temple of the False God,Lightly Played,319,Commander 2020,U,1,
Magic,Terminate,Lightly Played,231,Commander 2020,U,1,
Magic,Unexpectedly Absent,Lightly Played,106,Commander 2020,R,1,
Magic,Wilderness Reclamation,Lightly Played,196,Commander 2020,U,2,
Magic,Windfall,Lightly Played,128,Commander 2020,U,1,
Magic,Scorch Spitter,Lightly Played,159,Core Set 2020,C,4,
Magic,Animal Sanctuary,Lightly Played,242,Core Set 2021,R,1,
Magic,Frantic Inventory,Lightly Played,50,Core Set 2021,C,5,
Magic,Rewind,Lightly Played,63,Core Set 2021,U,1,
Magic,Selfless Savior,Lightly Played,36,Core Set 2021,U,1,
Magic,Sparkhunter Masticore,Lightly Played,240,Core Set 2021,R,4,
Magic,"Subira, Tulzidi Caravanner",Lightly Played,162,Core Set 2021,R,4,
Magic,Village Rites,Lightly Played,126,Core Set 2021,C,8,
Magic,Watcher of the Spheres,Lightly Played,227,Core Set 2021,U,1,
Magic,Master of Cruelties,Lightly Played,82,Dragon's Maze,M,1,
Magic,Counterspell,Lightly Played,,Duel Decks: Jace vs. Chandra,C,1,
Magic,Imprisoned in the Moon,Lightly Played,65,Eldritch Moon,R,1,
Magic,Legion Loyalist,Lightly Played,97,Gatecrash,R,1,
Magic,Scavenger Grounds,Lightly Played,182,Hour of Devastation,R,1,
Magic,Nature's Claim,Lightly Played,177,Iconic Masters,C,1,
Magic,Genesis Ultimatum (Extended Art),Lightly Played,336,Ikoria: Lair of Behemoths,R,1,
Magic,"Gyruda, Doom of Depths (Extended Art)",Lightly Played,351,Ikoria: Lair of Behemoths,R,1,
Magic,"Kaheera, the Orphanguard (Extended Art)",Lightly Played,353,Ikoria: Lair of Behemoths,R,1,
Magic,"Keruga, the Macrosage",Lightly Played,225,Ikoria: Lair of Behemoths,R,1,
Magic,Lurrus of the Dream-Den,Lightly Played,226,Ikoria: Lair of Behemoths,R,1,
Magic,"Obosh, the Preypiercer (Extended Art)",Lightly Played,357,Ikoria: Lair of Behemoths,R,1,
Magic,Quartzwood Crasher (Extended Art),Lightly Played,341,Ikoria: Lair of Behemoths,R,1,
Magic,"Rielle, the Everwise",Lightly Played,203,Ikoria: Lair of Behemoths,M,1,
Magic,Skull Prophet,Lightly Played,206,Ikoria: Lair of Behemoths,U,1,
Magic,Enduring Sliver,Lightly Played,6,Modern Horizons,C,1,
