tcgplayer_id,directLow,market,low,mid
11282 (Nonfoil),,16.28,15.86,19.99
11282 (Foil),,68.08,72.19,74.06
4183 (Nonfoil),,68.57,55.99,69.99
4183 (Foil),,,,
12009 (Nonfoil),,17.27,13.18,18.77
12009 (Foil),41.19,41.69,41.0,43.71
11985 (Nonfoil),,7.36,5.5,7.8
11985 (Foil),19.04,27.37,27.5,31.27
11953 (Nonfoil),29.94,25.15,19.0,24.98
11953 (Foil),,58.8,55.89,61.7
12093 (Nonfoil),,14.3,10.51,17.75
12093 (Foil),,67.39,55.0,68.63
38053 (Nonfoil),,,,
38053 (Foil),559.95,,499.99,559.95
13911 (Nonfoil),9.0,14.52,8.0,14.94
13911 (Foil),,48.58,47.65,49.85
27114 (Nonfoil),9.73,11.21,8.0,11.4
27114 (Foil),,20.45,15.71,19.87
4578 (Nonfoil),,9.63,6.38,11.3
4578 (Foil),,,,
52177 (Nonfoil),7.99,7.02,5.33,7.6
52177 (Foil),,11.88,10.5,12.98
215311 (Foil),16.99,17.04,16.94,19.25
215311 (Nonfoil),,,,
38241 (Nonfoil),,,,
38241 (Foil),114.98,150.03,114.98,139.98
3925 (Nonfoil),40.26,43.62,38.9,48.96
3925 (Foil),,,,
15506 (Nonfoil),2.87,5.27,3.29,5.46
15506 (Foil),,29.91,28.01,38.58
15415 (Nonfoil),27.99,35.07,23.0,33.59
15415 (Foil),,47.79,42.94,59.99
35443 (Nonfoil),,2.66,2.25,3.33
35443 (Foil),,5.39,4.0,5.23
47659 (Nonfoil),4.55,5.08,4.06,5.59
47659 (Foil),6.79,10.53,7.14,8.84
6515 (Nonfoil),,10.25,8.0,10.27
6515 (Foil),,45.59,41.25,45.06
6667 (Nonfoil),16.5,27.01,20.68,28.49
6667 (Foil),,346.97,449.99,600.0
18037 (Nonfoil),9.49,8.96,7.0,9.98
18037 (Foil),,25.77,32.95,44.97
9598 (Nonfoil),,6.36,4.83,6.63
9598 (Foil),32.87,58.28,38.07,45.91
9595 (Nonfoil),,18.41,12.81,19.66
9595 (Foil),,140.99,132.99,145.0
10484 (Nonfoil),,46.71,40.71,44.46
10484 (Foil),,449.13,449.89,583.5
37339 (Nonfoil),,75.11,67.4,73.95
37339 (Foil),,,,
123357 (Nonfoil),,,,
123357 (Foil),7.81,7.04,6.25,8.22
123351 (Nonfoil),,,,
123351 (Foil),11.97,15.87,9.95,13.22
123349 (Foil),,16.78,15.02,16.95
123349 (Nonfoil),,,,
165539 (Foil),,9.29,7.2,11.5
165539 (Nonfoil),,,,
189526 (Foil),,3.41,2.32,4.0
189526 (Nonfoil),,,,
194069 (Foil),11.94,10.52,9.79,12.12
194069 (Nonfoil),,,,
123375 (Nonfoil),,,,
